from	to
2100	6595
2100	6401
2100	1594
2100	7015
2100	4846
2113	2114
2113	2118
2113	4602
2113	4790
2113	5451
2113	5452
2113	5914
2113	861
2113	7020
2113	5972
2113	8731
2113	5328
2113	1508
2113	595
2113	1447
2113	7037
2113	8061
2113	4316
2113	5243
2113	1012
2113	1026
2113	9982
2113	4318
2113	8996
2113	5744
2113	4056
2113	6573
2113	925
2113	7368
2113	4057
2113	4311
2113	4321
2113	4481
2113	10875
2113	2204
2113	2623
2113	5046
2113	7076
2113	943
2113	3162
2113	1594
2113	920
2113	26229
2113	5175
2113	3560
2113	4846
2113	4314
2113	7134
2113	290
2113	142
2113	3875
2113	3718
2113	3687
2113	10148
2113	921
2113	4830
2113	4332
2113	146664
2113	6916
2113	6948
2113	7412
2114	2118
2114	2313
2114	4602
2114	5451
2114	7020
2114	5328
2114	595
2114	8061
2114	4318
2114	8996
2114	5744
2114	1113
2114	1081
2114	4481
2114	11344
2114	2623
2114	1583
2114	920
2114	7015
2114	4314
2114	290
2114	3875
2114	3718
2114	146664
2114	9332
2114	2629
2118	2313
2118	4602
2118	7391
2118	7490
2118	3356
2118	4316
2118	1071
2118	4318
2118	4585
2118	5329
2118	3077
2118	4321
2118	5669
2118	6441
2118	7077
2118	5046
2118	7076
2118	683
2118	4846
2118	4314
2118	7431
2118	146664
2118	6916
2118	8174
2118	695
2118	4322
2118	6556
2313	6688
2313	7020
2313	595
2313	3398
2313	1026
2313	4318
2313	9412
2313	2516
2313	2623
2313	3162
2313	7015
2313	4314
2313	7134
2313	290
3201	5914
3201	7020
3204	5914
3204	7051
3214	5914
3214	7391
3214	7392
3214	8996
3728	5371
3728	5914
3728	861
3728	6932
3728	7020
3728	595
4602	4790
4602	5241
4602	5933
4602	861
4602	6688
4602	7020
4602	7490
4602	2152
4602	7018
4602	8900
4602	1956
4602	2805
4602	23415
4602	131096
4602	8996
4602	5742
4602	6280
4602	5111
4602	3308
4602	4144
4602	4353
4602	5669
4602	2204
4602	1465
4602	1831
4602	1991
4602	2623
4602	89874
4602	4953
4602	9156
4602	920
4602	875
4602	290
4602	7431
4602	142
4602	921
4602	4830
4602	4332
4602	6916
4602	6948
4602	1736
4782	5451
4782	7020
4782	7490
4782	1906
4782	2152
4782	5327
4782	6319
4782	2670
4782	7018
4782	6121
4782	1543
4782	2805
4782	8996
4782	5449
4782	6439
4782	3569
4782	1081
4782	2689
4782	9412
4782	189
4782	183
4782	7368
4782	6647
4782	2006
4782	2908
4782	3162
4782	1594
4782	1583
4782	3291
4782	7980
4782	4830
4782	7343
4782	6617
4790	5966
4790	7490
4790	1906
4790	8731
4790	5328
4790	2152
4790	6352
4790	1508
4790	345
4790	3383
4790	595
4790	1447
4790	374
4790	354
4790	5243
4790	231
4790	348
4790	958
4790	9308
4790	1012
4790	1588
4790	23415
4790	131096
4790	3818
4790	4318
4790	8996
4790	5284
4790	5742
4790	5744
4790	3569
4790	5329
4790	6532
4790	7150
4790	7433
4790	6401
4790	4144
4790	6647
4790	2668
4790	2204
4790	2194
4790	8288
4790	1465
4790	929
4790	1645
4790	5082
4790	5980
4790	7076
4790	2908
4790	3162
4790	1594
4790	1583
4790	683
4790	3559
4790	3291
4790	7980
4790	330
4790	4314
4790	7134
4790	7431
4790	3315
4790	10148
4790	7412
4790	8174
4790	4322
4790	6556
4790	959
4790	3485
4790	973
4790	933
4790	2
4790	567
5079	5451
5079	6776
5079	131096
7849	7490
7849	7080
7849	6528
7849	7038
7849	7173
7849	1734
5241	5972
5241	354
5241	213
5241	8996
5241	1113
5241	1081
5241	3484
8554	6776
8554	1030
9063	6776
9063	1030
5371	5914
5371	6688
5371	8900
5451	5966
5451	861
